epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	2.0642	0.5602	0.5836	0.7037	0.5910	0.6102
2	1.4165	0.6144	0.6574	0.7273	0.5612	0.5972
3	1.3786	0.6287	0.6835	0.6937	0.5553	0.5974
4	1.2127	0.6576	0.7174	0.7333	0.5446	0.5830
5	1.0472	0.6780	0.7488	0.7114	0.5815	0.5968
6	0.8563	0.6995	0.7838	0.7216	0.5672	0.5979
7	0.7950	0.7257	0.8039	0.7072	0.5719	0.5949
8	0.7044	0.7355	0.8214	0.7368	0.5707	0.6029
9	0.6085	0.7607	0.8462	0.6944	0.5850	0.6118
10	0.5577	0.7788	0.8615	0.6875	0.5957	0.6210
11	0.4928	0.7880	0.8793	0.7083	0.6076	0.6167
12	0.4299	0.8152	0.8995	0.6981	0.6100	0.6324
13	0.4259	0.8172	0.9007	0.7007	0.5850	0.6215
14	0.3685	0.8441	0.9204	0.7030	0.5969	0.6217
15	0.3541	0.8482	0.9255	0.7037	0.5850	0.6227
