epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	2.0967	0.5665	0.5870	0.7390	0.5767	0.6395
2	1.5217	0.6019	0.6497	0.6779	0.5945	0.6527
3	1.2784	0.6326	0.6881	0.7093	0.5981	0.6251
4	1.1957	0.6536	0.7169	0.7082	0.5969	0.6135
5	1.0185	0.6825	0.7520	0.7218	0.5767	0.5861
6	0.9416	0.6897	0.7656	0.7153	0.5482	0.5727
7	0.7870	0.7149	0.7969	0.7144	0.5434	0.5850
8	0.7650	0.7238	0.8043	0.7162	0.5600	0.5939
9	0.6403	0.7538	0.8368	0.6975	0.5636	0.6036
10	0.5733	0.7686	0.8564	0.7052	0.5779	0.6071
11	0.5068	0.7893	0.8752	0.7350	0.5529	0.6036
12	0.4521	0.8144	0.8928	0.7019	0.5779	0.6143
13	0.3972	0.8254	0.9101	0.6949	0.5779	0.6154
14	0.3721	0.8354	0.9191	0.6976	0.5696	0.6180
15	0.3543	0.8475	0.9252	0.7024	0.5791	0.6171
