epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	2.2893	0.4877	0.4896	0.7353	0.5113	0.5208
2	1.7773	0.5238	0.5383	0.7296	0.5458	0.5461
3	1.6317	0.5398	0.5623	0.7277	0.5446	0.5562
4	1.5470	0.5511	0.5772	0.7284	0.5470	0.5623
5	1.4932	0.5545	0.5866	0.7261	0.5517	0.5696
6	1.4739	0.5616	0.5907	0.7263	0.5577	0.5727
7	1.4630	0.5664	0.5941	0.7228	0.5553	0.5731
8	1.4630	0.5633	0.5951	0.7246	0.5553	0.5750
9	1.4732	0.5602	0.5969	0.7221	0.5493	0.5800
10	1.4783	0.5633	0.5978	0.7217	0.5600	0.5841
11	1.4932	0.5630	0.5978	0.7203	0.5707	0.5868
12	1.5019	0.5636	0.5969	0.7194	0.5648	0.5893
13	1.5054	0.5654	0.5976	0.7190	0.5731	0.5890
14	1.5092	0.5677	0.5979	0.7194	0.5660	0.5888
15	1.5205	0.5671	0.5980	0.7191	0.5696	0.5896
