epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	1.8905	0.5272	0.5413	0.7311	0.5256	0.5455
2	1.6657	0.5427	0.5661	0.7347	0.5339	0.5552
3	1.5647	0.5634	0.5814	0.7282	0.5410	0.5604
4	1.5072	0.5733	0.5893	0.7249	0.5517	0.5647
5	1.4601	0.5764	0.5967	0.7228	0.5541	0.5644
6	1.4312	0.5813	0.6023	0.7274	0.5565	0.5658
7	1.4151	0.5792	0.6036	0.7263	0.5612	0.5683
8	1.4194	0.5830	0.6019	0.7227	0.5612	0.5753
9	1.4113	0.5795	0.6032	0.7209	0.5767	0.5755
10	1.4073	0.5809	0.6043	0.7205	0.5719	0.5765
11	1.3982	0.5868	0.6078	0.7201	0.5672	0.5755
12	1.4136	0.5816	0.6064	0.7205	0.5684	0.5760
13	1.4243	0.5816	0.6058	0.7211	0.5648	0.5747
14	1.4268	0.5813	0.6058	0.7213	0.5660	0.5749
15	1.4290	0.5813	0.6054	0.7215	0.5660	0.5742
