epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	1.8168	0.6245	0.6774	0.6871	0.5731	0.6664
2	1.3584	0.6814	0.7509	0.6718	0.6710	0.7218
3	1.2676	0.6881	0.7559	0.7038	0.6392	0.7102
4	0.9751	0.7198	0.8014	0.7408	0.5955	0.6533
5	0.8857	0.7346	0.8166	0.7123	0.6238	0.6914
6	0.7938	0.7599	0.8344	0.7122	0.6156	0.6762
7	0.7195	0.7619	0.8482	0.6990	0.6592	0.7161
8	0.6090	0.7821	0.8756	0.6838	0.6038	0.6775
9	0.5534	0.8020	0.8882	0.7011	0.6321	0.6914
10	0.4505	0.8309	0.9110	0.6839	0.6368	0.6892
11	0.4064	0.8393	0.9205	0.6981	0.6262	0.6874
12	0.3646	0.8579	0.9322	0.6893	0.6274	0.6868
13	0.3139	0.8680	0.9454	0.6950	0.6321	0.6901
14	0.2943	0.8851	0.9505	0.6946	0.6380	0.6911
15	0.2856	0.8915	0.9543	0.6937	0.6344	0.6908
