epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	2.3940	0.5356	0.5503	0.7074	0.6285	0.6907
2	1.5451	0.6062	0.6601	0.6839	0.6262	0.6860
3	1.3253	0.6461	0.6937	0.7020	0.5755	0.6187
4	1.1054	0.6746	0.7430	0.7389	0.5979	0.6494
5	1.1177	0.6757	0.7433	0.6980	0.5684	0.6329
6	0.8339	0.7145	0.7965	0.6981	0.6002	0.6497
7	0.6788	0.7419	0.8288	0.7219	0.5979	0.6334
8	0.6213	0.7707	0.8499	0.7285	0.6132	0.6752
9	0.5758	0.7736	0.8616	0.7093	0.6085	0.6429
10	0.4826	0.8038	0.8881	0.7135	0.5979	0.6455
11	0.4254	0.8146	0.9035	0.7170	0.5967	0.6320
12	0.3807	0.8431	0.9183	0.7149	0.6002	0.6455
13	0.3651	0.8434	0.9239	0.7132	0.5920	0.6384
14	0.3344	0.8589	0.9336	0.7157	0.5873	0.6344
15	0.3228	0.8675	0.9377	0.7160	0.5837	0.6341
