epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	2.2379	0.5736	0.6017	0.7107	0.5967	0.6468
2	1.7916	0.5938	0.6343	0.7058	0.6050	0.6616
3	1.6399	0.6143	0.6592	0.7047	0.6167	0.6701
4	1.5502	0.6214	0.6690	0.7013	0.6226	0.6740
5	1.4764	0.6302	0.6748	0.7012	0.6238	0.6740
6	1.4484	0.6383	0.6818	0.6992	0.6226	0.6732
7	1.4392	0.6309	0.6806	0.7001	0.6250	0.6739
8	1.4447	0.6258	0.6789	0.7013	0.6215	0.6712
9	1.4598	0.6265	0.6761	0.7002	0.6226	0.6708
10	1.4871	0.6224	0.6718	0.7009	0.6156	0.6700
11	1.5330	0.6160	0.6653	0.7017	0.6085	0.6700
12	1.5503	0.6167	0.6635	0.7012	0.6167	0.6706
13	1.5483	0.6201	0.6634	0.7008	0.6167	0.6712
14	1.5489	0.6204	0.6632	0.7003	0.6144	0.6720
15	1.5473	0.6204	0.6637	0.7007	0.6156	0.6715
