epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	1.9226	0.5464	0.5589	0.7231	0.5802	0.5938
2	1.7809	0.5644	0.5803	0.7230	0.5755	0.6112
3	1.6830	0.5670	0.5937	0.7151	0.5932	0.6150
4	1.6212	0.5763	0.6014	0.7155	0.5896	0.6206
5	1.5826	0.5900	0.6057	0.7178	0.5979	0.6277
6	1.5452	0.5853	0.6096	0.7161	0.5896	0.6218
7	1.5274	0.5900	0.6096	0.7165	0.5896	0.6210
8	1.5212	0.5878	0.6102	0.7161	0.5896	0.6229
9	1.5218	0.5828	0.6105	0.7141	0.5908	0.6251
10	1.5253	0.5810	0.6094	0.7141	0.5920	0.6245
11	1.5229	0.5810	0.6057	0.7140	0.5943	0.6264
12	1.5274	0.5839	0.6048	0.7138	0.5943	0.6256
13	1.5294	0.5832	0.6029	0.7141	0.5932	0.6247
14	1.5321	0.5839	0.6031	0.7144	0.5896	0.6241
15	1.5325	0.5857	0.6032	0.7145	0.5920	0.6240
