epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	1.8850	0.6106	0.6480	0.7347	0.5953	0.6516
2	1.5490	0.6485	0.6973	0.7389	0.5706	0.6368
3	1.2621	0.6559	0.7173	0.6935	0.6306	0.6587
4	1.2913	0.6667	0.7257	0.6884	0.6047	0.6591
5	1.1071	0.6902	0.7558	0.7192	0.6188	0.6474
6	1.1063	0.6966	0.7565	0.6825	0.6271	0.6861
7	0.8730	0.7154	0.7962	0.7271	0.6024	0.6670
8	0.7884	0.7349	0.8162	0.6779	0.6482	0.6932
9	0.6827	0.7571	0.8346	0.6777	0.6118	0.6791
10	0.6128	0.7732	0.8552	0.6905	0.6235	0.6756
11	0.5436	0.7863	0.8696	0.6906	0.6271	0.6750
12	0.4855	0.8048	0.8866	0.6841	0.6329	0.6921
13	0.4381	0.8189	0.8999	0.6864	0.6224	0.6880
14	0.4103	0.8280	0.9087	0.6886	0.6259	0.6870
15	0.3962	0.8353	0.9133	0.6903	0.6388	0.6873
