epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	2.0235	0.5392	0.5439	0.7051	0.5553	0.6018
2	1.6666	0.5632	0.5816	0.7179	0.5812	0.6053
3	1.4341	0.5993	0.6301	0.7432	0.5282	0.5729
4	1.3852	0.6010	0.6388	0.7289	0.5682	0.5834
5	1.1084	0.6419	0.6946	0.7109	0.5624	0.5990
6	0.9518	0.6652	0.7250	0.7446	0.5506	0.5750
7	0.8657	0.6730	0.7483	0.7393	0.5412	0.5781
8	0.7898	0.6889	0.7669	0.7434	0.5671	0.5771
9	0.7282	0.6936	0.7748	0.7256	0.5741	0.5867
10	0.6673	0.7176	0.7980	0.7281	0.5718	0.5820
11	0.6015	0.7470	0.8224	0.7273	0.5671	0.5818
12	0.5649	0.7581	0.8351	0.7226	0.5565	0.5822
13	0.5254	0.7632	0.8465	0.7286	0.5906	0.5868
14	0.5049	0.7774	0.8548	0.7211	0.5694	0.5839
15	0.4940	0.7750	0.8598	0.7221	0.5776	0.5859
