epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	2.1833	0.5276	0.5266	0.7212	0.5882	0.5964
2	1.6888	0.5618	0.5860	0.7049	0.6082	0.6265
3	1.5882	0.5850	0.6125	0.7070	0.6165	0.6437
4	1.5821	0.5978	0.6179	0.7050	0.6224	0.6517
5	1.5501	0.5917	0.6213	0.7105	0.5988	0.6309
6	1.5569	0.5958	0.6210	0.7173	0.5882	0.6167
7	1.5696	0.5874	0.6131	0.7198	0.5824	0.6069
8	1.6203	0.5773	0.6011	0.7252	0.5635	0.5946
9	1.6213	0.5736	0.5966	0.7234	0.5659	0.5947
10	1.5776	0.5709	0.5978	0.7205	0.5894	0.6034
11	1.5784	0.5743	0.5932	0.7219	0.5941	0.6036
12	1.5892	0.5699	0.5884	0.7259	0.5882	0.6000
13	1.6074	0.5669	0.5847	0.7272	0.5812	0.6001
14	1.6163	0.5649	0.5823	0.7268	0.5859	0.5995
15	1.6122	0.5642	0.5827	0.7268	0.5824	0.6002
