epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	2.0732	0.5142	0.5128	0.7459	0.5047	0.5198
2	1.6718	0.5226	0.5298	0.7470	0.5118	0.5344
3	1.5812	0.5230	0.5390	0.7319	0.5353	0.5441
4	1.5180	0.5345	0.5467	0.7312	0.5329	0.5488
5	1.4820	0.5358	0.5508	0.7371	0.5353	0.5500
6	1.4398	0.5429	0.5587	0.7291	0.5400	0.5588
7	1.4153	0.5416	0.5634	0.7310	0.5400	0.5660
8	1.4128	0.5476	0.5661	0.7255	0.5576	0.5718
9	1.4098	0.5459	0.5697	0.7273	0.5518	0.5723
10	1.3976	0.5503	0.5757	0.7281	0.5576	0.5730
11	1.3873	0.5551	0.5795	0.7269	0.5624	0.5730
12	1.4005	0.5544	0.5782	0.7262	0.5612	0.5766
13	1.3952	0.5605	0.5801	0.7258	0.5576	0.5781
14	1.3953	0.5584	0.5799	0.7258	0.5553	0.5777
15	1.3947	0.5581	0.5803	0.7256	0.5612	0.5787
