epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	1.6159	0.6829	0.7319	0.7081	0.7071	0.7873
2	1.1911	0.7236	0.7942	0.6831	0.7165	0.7642
3	1.0420	0.7408	0.8127	0.7362	0.6553	0.7398
4	0.9353	0.7576	0.8272	0.6890	0.7247	0.7685
5	0.8649	0.7703	0.8450	0.6790	0.7282	0.7828
6	0.7815	0.7798	0.8555	0.6839	0.6824	0.7611
7	0.7042	0.7858	0.8666	0.6982	0.7071	0.7778
8	0.6015	0.8043	0.8867	0.6761	0.7000	0.7708
9	0.5736	0.8144	0.8944	0.6884	0.7165	0.7733
10	0.5238	0.8221	0.9016	0.6915	0.7153	0.7725
11	0.4993	0.8319	0.9056	0.7034	0.7082	0.7704
12	0.4247	0.8460	0.9203	0.6883	0.7165	0.7667
13	0.3925	0.8631	0.9285	0.6867	0.7129	0.7645
14	0.3542	0.8692	0.9368	0.6882	0.7129	0.7675
15	0.3459	0.8739	0.9390	0.6889	0.7141	0.7699
