epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	2.0002	0.5442	0.5668	0.7863	0.5471	0.5847
2	1.5655	0.6063	0.6437	0.7140	0.6624	0.7031
3	1.4760	0.6169	0.6587	0.7168	0.6271	0.6802
4	1.1324	0.6441	0.7023	0.7656	0.5894	0.6287
5	1.0727	0.6494	0.7275	0.7756	0.5541	0.5699
6	0.9013	0.6806	0.7566	0.7659	0.5929	0.6638
7	0.8116	0.7090	0.7828	0.7562	0.5906	0.6304
8	0.6978	0.7301	0.8107	0.7409	0.6176	0.6430
9	0.6328	0.7411	0.8290	0.7451	0.6071	0.6494
10	0.5647	0.7683	0.8494	0.7455	0.5941	0.6221
11	0.5293	0.7711	0.8603	0.7371	0.6153	0.6426
12	0.4950	0.7898	0.8717	0.7411	0.6047	0.6470
13	0.4540	0.7955	0.8841	0.7399	0.5988	0.6380
14	0.4253	0.8097	0.8941	0.7470	0.5941	0.6394
15	0.4158	0.8178	0.8990	0.7414	0.6024	0.6399
