epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	1.8009	0.6130	0.6307	0.7077	0.6659	0.7170
2	1.3338	0.6698	0.7139	0.7015	0.6847	0.7424
3	1.2450	0.6866	0.7343	0.7006	0.6824	0.7523
4	1.1901	0.6900	0.7453	0.6920	0.7071	0.7620
5	1.1560	0.7034	0.7529	0.6932	0.7024	0.7616
6	1.1298	0.7031	0.7565	0.6964	0.6918	0.7605
7	1.1248	0.7017	0.7561	0.6980	0.6918	0.7581
8	1.1217	0.7038	0.7527	0.6995	0.6882	0.7522
9	1.1193	0.7065	0.7533	0.6964	0.6918	0.7536
10	1.1364	0.7048	0.7499	0.6965	0.6953	0.7545
11	1.1344	0.7014	0.7494	0.6954	0.6929	0.7552
12	1.1333	0.7031	0.7488	0.6950	0.7012	0.7548
13	1.1260	0.7028	0.7488	0.6944	0.6988	0.7549
14	1.1237	0.7017	0.7488	0.6944	0.7012	0.7540
15	1.1253	0.7007	0.7483	0.6953	0.6965	0.7526
