epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	2.0230	0.5175	0.4999	0.7939	0.5035	0.5078
2	1.7592	0.5296	0.5349	0.7810	0.5129	0.5274
3	1.6697	0.5422	0.5475	0.7783	0.5200	0.5450
4	1.6138	0.5406	0.5549	0.7775	0.5376	0.5564
5	1.6014	0.5450	0.5575	0.7684	0.5400	0.5609
6	1.5881	0.5499	0.5593	0.7797	0.5388	0.5592
7	1.5766	0.5475	0.5625	0.7733	0.5412	0.5578
8	1.5794	0.5483	0.5645	0.7736	0.5482	0.5585
9	1.5857	0.5499	0.5644	0.7740	0.5435	0.5581
10	1.5817	0.5524	0.5651	0.7727	0.5459	0.5555
11	1.5802	0.5584	0.5676	0.7755	0.5471	0.5530
12	1.5883	0.5584	0.5686	0.7757	0.5541	0.5522
13	1.5842	0.5613	0.5705	0.7755	0.5459	0.5520
14	1.5803	0.5641	0.5711	0.7756	0.5400	0.5516
15	1.5797	0.5645	0.5710	0.7755	0.5447	0.5518
