epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	2.7559	0.4869	0.5019	0.8106	0.5396	0.5633
2	1.3600	0.6243	0.6801	0.7895	0.5612	0.5609
3	1.0361	0.6976	0.7680	0.8543	0.4766	0.5254
4	0.9101	0.7081	0.7911	0.8377	0.4946	0.5315
5	0.6173	0.7840	0.8704	0.8673	0.4676	0.5212
6	0.5324	0.8220	0.9043	0.8039	0.5324	0.5252
7	0.4217	0.8364	0.9279	0.8289	0.5090	0.5414
8	0.3714	0.8573	0.9393	0.8149	0.5180	0.5159
9	0.3450	0.8678	0.9435	0.8390	0.4802	0.5260
10	0.2843	0.9018	0.9610	0.8051	0.5468	0.5373
11	0.2199	0.9123	0.9736	0.8037	0.5486	0.5333
12	0.1820	0.9241	0.9806	0.8531	0.4730	0.5401
13	0.1737	0.9306	0.9824	0.8282	0.5090	0.5271
14	0.1380	0.9450	0.9885	0.8381	0.4820	0.5212
15	0.1648	0.9450	0.9848	0.8389	0.4802	0.5169
