epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	2.4484	0.5012	0.5242	0.8324	0.4820	0.5248
2	1.3695	0.6466	0.7069	0.8266	0.5036	0.5002
3	0.9221	0.7278	0.7910	0.7965	0.5396	0.4890
4	0.7547	0.7623	0.8428	0.8625	0.4586	0.4964
5	0.7010	0.7956	0.8747	0.8336	0.5036	0.5318
6	0.4356	0.8522	0.9293	0.8317	0.4856	0.5097
7	0.4254	0.8584	0.9315	0.8520	0.4820	0.4891
8	0.3665	0.8633	0.9435	0.8533	0.4676	0.4900
9	0.2705	0.8904	0.9625	0.8354	0.5072	0.4999
10	0.2618	0.8966	0.9641	0.7933	0.5594	0.5026
11	0.2307	0.9138	0.9716	0.7962	0.5504	0.5169
12	0.1947	0.9360	0.9791	0.8138	0.5234	0.5001
13	0.1839	0.9347	0.9796	0.8111	0.5252	0.4978
14	0.1391	0.9458	0.9880	0.8190	0.5198	0.4975
15	0.1555	0.9520	0.9868	0.8171	0.5270	0.4990
