epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	2.9480	0.5157	0.5100	0.8270	0.5090	0.5337
2	2.4893	0.5419	0.5327	0.8214	0.5234	0.5383
3	2.3120	0.5353	0.5427	0.8225	0.5162	0.5319
4	2.1688	0.5524	0.5522	0.8211	0.5216	0.5278
5	2.0808	0.5589	0.5604	0.8236	0.5342	0.5285
6	2.0090	0.5589	0.5681	0.8217	0.5342	0.5297
7	1.9643	0.5615	0.5716	0.8225	0.5306	0.5296
8	1.9454	0.5681	0.5744	0.8228	0.5288	0.5326
9	1.9311	0.5707	0.5791	0.8255	0.5234	0.5281
10	1.8952	0.5759	0.5813	0.8248	0.5144	0.5300
11	1.8680	0.5707	0.5820	0.8267	0.5054	0.5284
12	1.8617	0.5733	0.5841	0.8260	0.5144	0.5295
13	1.8542	0.5746	0.5838	0.8248	0.5180	0.5317
14	1.8597	0.5772	0.5852	0.8250	0.5144	0.5312
15	1.8491	0.5759	0.5846	0.8249	0.5144	0.5310
