epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	2.9103	0.4791	0.4583	0.8411	0.4784	0.4996
2	2.6951	0.4865	0.4638	0.8303	0.5018	0.5019
3	2.5477	0.4938	0.4717	0.8289	0.5036	0.5015
4	2.4495	0.4951	0.4776	0.8284	0.5090	0.5031
5	2.3733	0.4951	0.4825	0.8314	0.5072	0.5060
6	2.3101	0.5037	0.4887	0.8321	0.5054	0.5068
7	2.2645	0.4975	0.4931	0.8318	0.5090	0.5077
8	2.2287	0.5049	0.4968	0.8287	0.5108	0.5098
9	2.2157	0.5062	0.4976	0.8282	0.5126	0.5114
10	2.1906	0.5000	0.4972	0.8265	0.5072	0.5122
11	2.1973	0.4901	0.4958	0.8273	0.5036	0.5130
12	2.1848	0.4938	0.4968	0.8274	0.5036	0.5137
13	2.1948	0.4926	0.4967	0.8273	0.5018	0.5137
14	2.1909	0.4926	0.4955	0.8270	0.5036	0.5147
15	2.1803	0.4938	0.4956	0.8275	0.5036	0.5141
