epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.6815	0.5606	0.5862	0.7145	0.6195	0.6687
2	0.6289	0.6457	0.7041	0.6970	0.6171	0.6887
3	0.5861	0.6920	0.7589	0.6897	0.6326	0.6976
4	0.5537	0.7226	0.7926	0.6894	0.6314	0.7045
5	0.5219	0.7437	0.8200	0.6935	0.6314	0.7008
6	0.5106	0.7577	0.8296	0.6893	0.6409	0.6987
7	0.4838	0.7709	0.8513	0.6920	0.6397	0.6987
8	0.4715	0.7777	0.8603	0.6852	0.6361	0.6974
9	0.4568	0.7880	0.8701	0.6897	0.6338	0.6974
10	0.4359	0.8033	0.8846	0.6862	0.6397	0.6969
11	0.4350	0.8084	0.8846	0.6871	0.6397	0.6967
12	0.4396	0.8033	0.8808	0.6857	0.6373	0.6962
13	0.4274	0.8155	0.8898	0.6876	0.6421	0.6963
14	0.4299	0.8159	0.8877	0.6871	0.6409	0.6966
15	0.4259	0.8176	0.8905	0.6872	0.6397	0.6964
