epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.6788	0.5685	0.5966	0.7095	0.6504	0.6948
2	0.6271	0.6491	0.7061	0.6889	0.6350	0.7051
3	0.5878	0.6866	0.7531	0.6856	0.6409	0.7065
4	0.5574	0.7180	0.7860	0.6859	0.6516	0.7123
5	0.5294	0.7452	0.8121	0.6855	0.6409	0.7063
6	0.5073	0.7700	0.8321	0.6867	0.6516	0.7068
7	0.4878	0.7700	0.8458	0.6867	0.6433	0.7026
8	0.4745	0.7882	0.8564	0.6878	0.6409	0.7003
9	0.4625	0.7992	0.8653	0.6871	0.6421	0.6997
10	0.4486	0.8103	0.8747	0.6848	0.6457	0.6995
11	0.4427	0.8175	0.8780	0.6856	0.6480	0.6993
12	0.4406	0.8189	0.8797	0.6858	0.6468	0.6984
13	0.4420	0.8258	0.8782	0.6861	0.6457	0.6986
14	0.4399	0.8127	0.8794	0.6861	0.6457	0.6981
15	0.4397	0.8178	0.8804	0.6861	0.6468	0.6982
