epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.6344	0.6379	0.6886	0.7033	0.7028	0.7744
2	0.5654	0.7053	0.7772	0.6922	0.7087	0.7767
3	0.5255	0.7410	0.8151	0.6888	0.7017	0.7765
4	0.4873	0.7679	0.8449	0.6852	0.6958	0.7722
5	0.4541	0.7851	0.8675	0.6847	0.6816	0.7664
6	0.4273	0.8060	0.8833	0.6867	0.6792	0.7634
7	0.4054	0.8289	0.8963	0.6949	0.6745	0.7628
8	0.3809	0.8400	0.9092	0.6920	0.6757	0.7593
9	0.3700	0.8424	0.9142	0.6908	0.6757	0.7572
10	0.3560	0.8484	0.9211	0.6887	0.6722	0.7560
11	0.3416	0.8616	0.9264	0.6909	0.6745	0.7562
12	0.3443	0.8639	0.9248	0.6914	0.6769	0.7563
13	0.3337	0.8619	0.9307	0.6915	0.6769	0.7554
14	0.3389	0.8555	0.9274	0.6921	0.6769	0.7554
15	0.3288	0.8737	0.9331	0.6919	0.6769	0.7554
