epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.7024	0.4773	0.4688	0.7424	0.4670	0.4087
2	0.7036	0.4698	0.4608	0.7423	0.4776	0.4223
3	0.7012	0.4842	0.4765	0.7422	0.4717	0.4340
4	0.6984	0.5004	0.4918	0.7421	0.4776	0.4423
5	0.6989	0.5022	0.4936	0.7420	0.4811	0.4499
6	0.7030	0.4662	0.4618	0.7420	0.4894	0.4562
7	0.6992	0.4932	0.4845	0.7420	0.4858	0.4586
8	0.7007	0.4827	0.4787	0.7420	0.4882	0.4620
9	0.7018	0.4856	0.4724	0.7419	0.4882	0.4639
10	0.7036	0.4748	0.4624	0.7419	0.4894	0.4641
11	0.6996	0.4874	0.4833	0.7419	0.4941	0.4643
12	0.6996	0.4928	0.4836	0.7419	0.4906	0.4651
13	0.7003	0.4845	0.4806	0.7419	0.4894	0.4650
14	0.7035	0.4690	0.4568	0.7419	0.4917	0.4648
15	0.6983	0.5043	0.4962	0.7419	0.4894	0.4648
