epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.6284	0.6472	0.7065	0.6929	0.6953	0.7713
2	0.5568	0.7231	0.7896	0.6829	0.6976	0.7745
3	0.5196	0.7507	0.8219	0.6762	0.7176	0.7777
4	0.4890	0.7792	0.8463	0.6735	0.7129	0.7798
5	0.4601	0.7960	0.8651	0.6735	0.7071	0.7779
6	0.4362	0.8165	0.8783	0.6739	0.7082	0.7779
7	0.4161	0.8239	0.8899	0.6744	0.6988	0.7780
8	0.3940	0.8390	0.9011	0.6817	0.6965	0.7756
9	0.3944	0.8390	0.9008	0.6780	0.7012	0.7748
10	0.3832	0.8444	0.9068	0.6760	0.7012	0.7740
11	0.3694	0.8538	0.9141	0.6723	0.7024	0.7730
12	0.3632	0.8569	0.9145	0.6756	0.7000	0.7724
13	0.3720	0.8522	0.9122	0.6768	0.7000	0.7725
14	0.3651	0.8555	0.9146	0.6775	0.6988	0.7726
15	0.3599	0.8629	0.9158	0.6776	0.6988	0.7725
