epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.6907	0.5355	0.5488	0.7282	0.6447	0.7452
2	0.6640	0.6095	0.6373	0.7154	0.6776	0.7628
3	0.6464	0.6314	0.6738	0.7032	0.6941	0.7657
4	0.6148	0.6750	0.7249	0.7034	0.6941	0.7607
5	0.5947	0.6912	0.7497	0.6974	0.6871	0.7567
6	0.5672	0.7240	0.7794	0.6971	0.6800	0.7479
7	0.5493	0.7264	0.7991	0.7020	0.6682	0.7399
8	0.5291	0.7527	0.8171	0.6978	0.6647	0.7352
9	0.5212	0.7649	0.8230	0.6944	0.6694	0.7305
10	0.5053	0.7736	0.8362	0.6997	0.6612	0.7342
11	0.4969	0.7848	0.8429	0.6969	0.6624	0.7318
12	0.4931	0.7838	0.8453	0.6996	0.6565	0.7329
13	0.4917	0.7861	0.8463	0.6985	0.6565	0.7317
14	0.4960	0.7828	0.8427	0.6988	0.6576	0.7318
15	0.4980	0.7774	0.8416	0.6989	0.6576	0.7318
