epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.5746	0.6937	0.7625	0.6887	0.7635	0.8315
2	0.4915	0.7740	0.8337	0.6773	0.7694	0.8424
3	0.4583	0.7902	0.8579	0.6784	0.7741	0.8465
4	0.4283	0.8130	0.8767	0.6750	0.7788	0.8468
5	0.4059	0.8238	0.8895	0.6729	0.7788	0.8462
6	0.3919	0.8329	0.8968	0.6706	0.7788	0.8452
7	0.3740	0.8473	0.9051	0.6697	0.7671	0.8429
8	0.3559	0.8561	0.9149	0.6702	0.7729	0.8420
9	0.3467	0.8584	0.9183	0.6713	0.7706	0.8412
10	0.3345	0.8702	0.9230	0.6703	0.7659	0.8405
11	0.3296	0.8695	0.9269	0.6707	0.7671	0.8399
12	0.3236	0.8763	0.9296	0.6713	0.7706	0.8399
13	0.3198	0.8742	0.9318	0.6710	0.7718	0.8396
14	0.3218	0.8716	0.9305	0.6712	0.7682	0.8399
15	0.3191	0.8800	0.9300	0.6712	0.7694	0.8397
