epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.6965	0.5061	0.5083	0.7752	0.5788	0.5141
2	0.6957	0.4996	0.5065	0.7753	0.5788	0.5225
3	0.6978	0.4992	0.4917	0.7753	0.5776	0.5276
4	0.6976	0.4976	0.4948	0.7753	0.5741	0.5335
5	0.6958	0.5004	0.5025	0.7754	0.5765	0.5381
6	0.6930	0.5150	0.5236	0.7754	0.5682	0.5400
7	0.6962	0.5053	0.5047	0.7755	0.5659	0.5422
8	0.6960	0.5061	0.5056	0.7755	0.5647	0.5439
9	0.6940	0.5126	0.5188	0.7755	0.5706	0.5444
10	0.6978	0.5130	0.4965	0.7755	0.5671	0.5461
11	0.6997	0.4842	0.4760	0.7755	0.5694	0.5451
12	0.6950	0.5093	0.5204	0.7755	0.5659	0.5452
13	0.6958	0.5032	0.5078	0.7755	0.5694	0.5461
14	0.7002	0.4878	0.4809	0.7755	0.5706	0.5453
15	0.6980	0.4931	0.4922	0.7755	0.5718	0.5450
