epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.6949	0.5366	0.5336	0.8206	0.3705	0.5236
2	0.6813	0.5654	0.5845	0.8146	0.4568	0.5362
3	0.6631	0.5903	0.6396	0.8209	0.4371	0.5507
4	0.6326	0.6675	0.7168	0.8255	0.4406	0.5568
5	0.6124	0.7029	0.7425	0.8145	0.4892	0.5597
6	0.5864	0.7225	0.7800	0.8138	0.4982	0.5553
7	0.5855	0.7094	0.7659	0.8191	0.4802	0.5628
8	0.5599	0.7487	0.8002	0.8123	0.5072	0.5558
9	0.5530	0.7395	0.8065	0.8177	0.4910	0.5557
10	0.5378	0.7801	0.8202	0.8156	0.4964	0.5555
11	0.5360	0.7605	0.8208	0.8196	0.4766	0.5554
12	0.5336	0.7749	0.8252	0.8180	0.4820	0.5553
13	0.5224	0.7880	0.8334	0.8195	0.4766	0.5547
14	0.5155	0.7932	0.8433	0.8186	0.4802	0.5547
15	0.5198	0.7670	0.8409	0.8186	0.4784	0.5548
