epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.7002	0.4828	0.4871	0.8135	0.4514	0.4635
2	0.7088	0.4606	0.4435	0.8135	0.4496	0.4634
3	0.7039	0.4803	0.4767	0.8134	0.4550	0.4648
4	0.6981	0.5099	0.5030	0.8133	0.4514	0.4656
5	0.6953	0.5000	0.5144	0.8133	0.4496	0.4646
6	0.7005	0.4778	0.4954	0.8132	0.4550	0.4657
7	0.7030	0.4791	0.4794	0.8132	0.4550	0.4657
8	0.7060	0.4606	0.4627	0.8132	0.4568	0.4653
9	0.7027	0.4926	0.4730	0.8131	0.4586	0.4662
10	0.6986	0.5012	0.5002	0.8131	0.4604	0.4653
11	0.7063	0.4631	0.4620	0.8131	0.4532	0.4655
12	0.7008	0.4988	0.4897	0.8131	0.4586	0.4656
13	0.7018	0.4803	0.4856	0.8131	0.4568	0.4653
14	0.7014	0.4840	0.4814	0.8131	0.4514	0.4659
15	0.7011	0.4889	0.4849	0.8131	0.4568	0.4658
