epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.7144	0.5031	0.5351	0.6932	0.5030	0.5013
2	0.6955	0.5051	0.5130	0.6950	0.5006	0.4959
3	0.6930	0.5228	0.5619	0.6945	0.5006	0.5559
4	0.6923	0.5150	0.5799	0.6972	0.5006	0.5658
5	0.6906	0.5381	0.6036	0.6969	0.5006	0.5685
6	0.6876	0.5422	0.6342	0.6953	0.5006	0.5573
7	0.6862	0.5589	0.6409	0.7005	0.5006	0.5622
8	0.6824	0.5565	0.6591	0.7056	0.5006	0.5586
9	0.6795	0.5824	0.6713	0.7039	0.5006	0.5617
10	0.6727	0.5841	0.6901	0.7070	0.5006	0.5531
11	0.6691	0.5888	0.6918	0.7157	0.5006	0.5508
12	0.6712	0.5885	0.7162	0.7043	0.5006	0.5492
13	0.6647	0.6025	0.7247	0.7198	0.5006	0.5529
14	0.6618	0.6048	0.7291	0.7156	0.5006	0.5516
15	0.6571	0.6072	0.7478	0.7031	0.5018	0.5560
