epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.7207	0.5031	0.5178	0.6928	0.5030	0.5463
2	0.6960	0.5127	0.5304	0.6938	0.5006	0.5599
3	0.6956	0.5127	0.5531	0.6943	0.5006	0.5505
4	0.6934	0.5148	0.5499	0.6966	0.5006	0.5464
5	0.6923	0.5162	0.5644	0.6962	0.5006	0.5528
6	0.6899	0.5282	0.6022	0.6933	0.5042	0.5600
7	0.6863	0.5503	0.6112	0.6953	0.5030	0.5782
8	0.6830	0.5448	0.6297	0.7011	0.5018	0.5731
9	0.6795	0.5713	0.6543	0.7007	0.5030	0.5780
10	0.6762	0.5727	0.6637	0.7054	0.5018	0.5735
11	0.6677	0.5961	0.6785	0.6960	0.5184	0.5687
12	0.6701	0.5847	0.7058	0.6937	0.5184	0.5708
13	0.6663	0.5992	0.7202	0.7098	0.5006	0.5769
14	0.6550	0.6226	0.7359	0.7003	0.5030	0.5845
15	0.6562	0.6154	0.7494	0.7055	0.5006	0.5782
