epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.7293	0.5227	0.5131	0.6923	0.5377	0.4907
2	0.6859	0.5568	0.4241	0.7078	0.5377	0.4125
3	0.6740	0.5877	0.6101	0.7224	0.5377	0.5892
4	0.6740	0.5914	0.6176	0.7340	0.5377	0.6313
5	0.6718	0.5857	0.6489	0.7409	0.5377	0.6177
6	0.6651	0.6002	0.6593	0.7474	0.5377	0.6494
7	0.6729	0.5938	0.6488	0.7350	0.5377	0.6316
8	0.6643	0.5982	0.6621	0.7382	0.5377	0.6520
9	0.6588	0.6167	0.6886	0.7436	0.5377	0.6736
10	0.6625	0.6174	0.6694	0.7443	0.5377	0.6334
11	0.6565	0.6187	0.6881	0.7396	0.5377	0.6366
12	0.6515	0.6258	0.5976	0.7476	0.5377	0.5776
13	0.6476	0.6292	0.7066	0.7392	0.5377	0.6427
14	0.6463	0.6282	0.6466	0.7522	0.5377	0.6061
15	0.6410	0.6362	0.6634	0.7563	0.5377	0.6082
