epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.7433	0.5054	0.5627	0.6893	0.5377	0.5887
2	0.6934	0.5234	0.5907	0.6914	0.5377	0.6003
3	0.6905	0.5277	0.5967	0.6916	0.5377	0.5948
4	0.6897	0.5403	0.6099	0.6893	0.5377	0.6087
5	0.6856	0.5608	0.6176	0.6949	0.5377	0.6109
6	0.6818	0.5680	0.6319	0.6952	0.5377	0.6307
7	0.6819	0.5698	0.6422	0.7023	0.5377	0.6182
8	0.6809	0.5544	0.6607	0.6910	0.5377	0.6255
9	0.6759	0.5792	0.6715	0.6975	0.5377	0.6270
10	0.6780	0.5659	0.6799	0.6936	0.5377	0.6162
11	0.6718	0.5814	0.6746	0.6931	0.5389	0.6132
12	0.6673	0.5850	0.6904	0.6945	0.5389	0.6151
13	0.6680	0.5896	0.7002	0.6940	0.5389	0.6265
14	0.6613	0.6008	0.7052	0.6999	0.5389	0.6061
15	0.6590	0.6094	0.7283	0.7070	0.5377	0.6000
