epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.7269	0.5128	0.5227	0.6963	0.4800	0.5179
2	0.6969	0.5000	0.5663	0.6974	0.4800	0.5700
3	0.6923	0.5141	0.6191	0.7018	0.4800	0.6133
4	0.6787	0.5739	0.6205	0.7322	0.4800	0.6235
5	0.6597	0.6116	0.6197	0.7438	0.4800	0.6022
6	0.6564	0.6186	0.7068	0.7301	0.4800	0.6790
7	0.6584	0.6146	0.7126	0.7210	0.4800	0.6870
8	0.6518	0.6374	0.7063	0.7441	0.4800	0.6717
9	0.6433	0.6344	0.7030	0.7468	0.4800	0.6755
10	0.6477	0.6317	0.7282	0.7403	0.4800	0.6837
11	0.6446	0.6354	0.6875	0.7570	0.4800	0.6567
12	0.6399	0.6428	0.7339	0.7562	0.4800	0.6885
13	0.6353	0.6408	0.7455	0.7425	0.4800	0.6966
14	0.6322	0.6526	0.7556	0.7501	0.4800	0.6931
15	0.6311	0.6610	0.7597	0.7499	0.4800	0.6918
