epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.7491	0.4943	0.5002	0.6929	0.5200	0.4887
2	0.6949	0.5186	0.5011	0.6951	0.4800	0.5018
3	0.6961	0.4946	0.4844	0.7004	0.4800	0.4584
4	0.6949	0.5054	0.5114	0.6969	0.4800	0.5427
5	0.6942	0.5034	0.5089	0.6967	0.4800	0.5687
6	0.6944	0.4936	0.5164	0.6941	0.4800	0.5606
7	0.6937	0.5047	0.5239	0.6929	0.5200	0.5697
8	0.6936	0.4990	0.5138	0.6945	0.4800	0.6026
9	0.6934	0.5051	0.5119	0.6941	0.4800	0.5082
10	0.6923	0.5206	0.5566	0.6962	0.4800	0.6530
11	0.6945	0.5081	0.5578	0.6944	0.4800	0.6313
12	0.6926	0.5233	0.5672	0.6935	0.4800	0.6406
13	0.6915	0.5294	0.5317	0.6963	0.4800	0.5705
14	0.6908	0.5355	0.5051	0.6984	0.4800	0.5090
15	0.6886	0.5341	0.5108	0.7032	0.4800	0.5067
