epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.7603	0.4963	0.5345	0.6864	0.5918	0.5853
2	0.7000	0.4911	0.5828	0.6891	0.5776	0.6101
3	0.6949	0.5101	0.6246	0.6960	0.4482	0.6645
4	0.6889	0.5227	0.6428	0.6721	0.6635	0.6938
5	0.6869	0.5381	0.6604	0.6737	0.6294	0.6861
6	0.6839	0.5597	0.6826	0.6595	0.6671	0.7089
7	0.6712	0.5824	0.6995	0.6552	0.6659	0.7087
8	0.6775	0.5775	0.7091	0.6514	0.6588	0.7123
9	0.6690	0.6019	0.7149	0.6440	0.6694	0.7132
10	0.6694	0.5933	0.7175	0.6317	0.6753	0.7208
11	0.6664	0.5885	0.7438	0.6434	0.6741	0.7265
12	0.6626	0.5913	0.7537	0.6415	0.6671	0.7210
13	0.6593	0.6055	0.7596	0.6344	0.6706	0.7272
14	0.6614	0.6043	0.7739	0.6292	0.6694	0.7216
15	0.6587	0.6023	0.7872	0.6482	0.6494	0.7231
