epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.7307	0.5508	0.5825	0.6761	0.6024	0.5835
2	0.6816	0.5777	0.6337	0.6824	0.6024	0.6361
3	0.6603	0.5888	0.7012	0.6851	0.5494	0.6887
4	0.6422	0.6274	0.7294	0.6869	0.5365	0.7038
5	0.6346	0.6523	0.7356	0.6844	0.5306	0.7017
6	0.6110	0.6705	0.7504	0.7114	0.4635	0.7062
7	0.6159	0.6601	0.7647	0.6845	0.5329	0.7103
8	0.5998	0.6745	0.7753	0.6891	0.5388	0.7224
9	0.6043	0.6745	0.7829	0.6910	0.5129	0.7286
10	0.5932	0.6947	0.7948	0.6499	0.6318	0.7301
11	0.5785	0.7051	0.8136	0.6620	0.6047	0.7388
12	0.5752	0.7034	0.8265	0.6661	0.5800	0.7453
13	0.5598	0.7192	0.8341	0.6648	0.5859	0.7413
14	0.5507	0.7159	0.8416	0.6528	0.6082	0.7514
15	0.5438	0.7424	0.8556	0.6411	0.6318	0.7460
