epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.7474	0.5327	0.4859	0.7063	0.3327	0.4750
2	0.7141	0.5079	0.4944	0.7112	0.3327	0.4999
3	0.6922	0.5262	0.4987	0.7213	0.3327	0.5245
4	0.6975	0.5340	0.5002	0.7174	0.3327	0.4791
5	0.6948	0.5406	0.5314	0.7242	0.3327	0.5232
6	0.6947	0.5288	0.5136	0.7277	0.3327	0.5090
7	0.6912	0.5366	0.5182	0.7330	0.3327	0.5084
8	0.6920	0.5471	0.5095	0.7309	0.3327	0.5152
9	0.6926	0.5301	0.5468	0.7337	0.3327	0.5206
10	0.6929	0.5236	0.5141	0.7317	0.3327	0.5175
11	0.6917	0.5366	0.5569	0.7389	0.3327	0.4836
12	0.6932	0.5353	0.5060	0.7342	0.3327	0.4726
13	0.6886	0.5458	0.5528	0.7323	0.3327	0.4764
14	0.6909	0.5406	0.5173	0.7377	0.3327	0.5200
15	0.6883	0.5445	0.5410	0.7366	0.3327	0.4838
