epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.9268	0.4938	0.5262	0.7292	0.3831	0.4864
2	0.7223	0.5062	0.5661	0.7284	0.3363	0.4348
3	0.7007	0.5209	0.6089	0.7094	0.3723	0.4739
4	0.6938	0.5172	0.6206	0.7117	0.3741	0.4848
5	0.6878	0.5296	0.6291	0.7098	0.3993	0.4697
6	0.6913	0.5554	0.6529	0.7016	0.4460	0.4584
7	0.6794	0.5603	0.6874	0.6851	0.5899	0.4581
8	0.6861	0.5480	0.7154	0.6728	0.6349	0.4752
9	0.6902	0.5530	0.7173	0.6906	0.5432	0.4638
10	0.6796	0.5567	0.7320	0.6877	0.5629	0.5008
11	0.6754	0.5739	0.7360	0.6961	0.5252	0.5003
12	0.6741	0.5690	0.7655	0.6921	0.5522	0.5152
13	0.6580	0.6145	0.7599	0.7344	0.4065	0.5002
14	0.6480	0.6195	0.7792	0.6712	0.6025	0.5076
15	0.6583	0.5911	0.7952	0.7212	0.4496	0.5086
