epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.7000	0.5051	0.6573	0.6870	0.5565	0.5867
2	0.6912	0.5425	0.6711	0.6815	0.5826	0.6079
3	0.6838	0.5514	0.6941	0.6753	0.5743	0.6133
4	0.6756	0.5773	0.7014	0.6690	0.5898	0.6261
5	0.6635	0.5926	0.7318	0.6705	0.5933	0.6361
6	0.6607	0.5912	0.7530	0.6665	0.5755	0.6350
7	0.6566	0.6103	0.7549	0.6588	0.6219	0.6514
8	0.6406	0.6232	0.7752	0.6634	0.5838	0.6371
9	0.6470	0.6164	0.7846	0.6603	0.5981	0.6415
10	0.6306	0.6344	0.7959	0.6568	0.5826	0.6401
11	0.6326	0.6307	0.8127	0.6567	0.5957	0.6443
12	0.6156	0.6559	0.8150	0.6533	0.6076	0.6550
13	0.6152	0.6501	0.8279	0.6569	0.5993	0.6533
14	0.6069	0.6624	0.8400	0.6556	0.6064	0.6447
15	0.5914	0.6801	0.8420	0.6600	0.5922	0.6434
