epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.7040	0.5031	0.5492	0.6928	0.5030	0.5601
2	0.6987	0.4883	0.5604	0.7034	0.5006	0.5572
3	0.6934	0.5262	0.5656	0.6928	0.5054	0.5175
4	0.6937	0.5275	0.5766	0.6925	0.5291	0.5428
5	0.6912	0.5293	0.5803	0.6929	0.5101	0.5435
6	0.6880	0.5375	0.6069	0.6918	0.5482	0.5646
7	0.6856	0.5389	0.6016	0.6911	0.5458	0.5744
8	0.6905	0.5269	0.6242	0.6912	0.5636	0.5741
9	0.6817	0.5510	0.6321	0.6874	0.5565	0.5803
10	0.6833	0.5544	0.6342	0.6904	0.5470	0.5753
11	0.6820	0.5575	0.6348	0.6882	0.5505	0.5843
12	0.6820	0.5568	0.6462	0.6891	0.5624	0.5861
13	0.6754	0.5761	0.6495	0.6915	0.5327	0.5716
14	0.6705	0.5851	0.6482	0.6966	0.5006	0.5653
15	0.6756	0.5789	0.6519	0.6963	0.5018	0.5682
