epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.6919	0.5569	0.7260	0.6562	0.6262	0.6523
2	0.6381	0.6267	0.7834	0.6665	0.6179	0.6493
3	0.6151	0.6523	0.8467	0.6856	0.5719	0.6226
4	0.5651	0.7034	0.8600	0.6937	0.6108	0.6279
5	0.5476	0.7091	0.8894	0.7078	0.5991	0.6171
6	0.5201	0.7369	0.8950	0.7572	0.5979	0.6307
7	0.5071	0.7379	0.9217	0.7583	0.5672	0.6096
8	0.4842	0.7617	0.9386	0.7662	0.5755	0.6004
9	0.4558	0.7696	0.9469	0.7935	0.5908	0.6029
10	0.4293	0.7963	0.9524	0.8384	0.5790	0.6008
11	0.4262	0.7912	0.9588	0.8390	0.5731	0.6051
12	0.4141	0.7948	0.9669	0.8557	0.5660	0.5985
13	0.3940	0.8179	0.9730	0.8900	0.5601	0.5913
14	0.3846	0.8189	0.9778	0.8987	0.5778	0.5816
15	0.3815	0.8161	0.9796	0.9286	0.5660	0.5839
