epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.6703	0.6042	0.6592	0.6780	0.5531	0.6612
2	0.6659	0.6090	0.6648	0.6818	0.5472	0.6506
3	0.6632	0.6103	0.6551	0.6875	0.5377	0.6496
4	0.6588	0.6251	0.6692	0.6817	0.5377	0.6755
5	0.6603	0.6245	0.6530	0.6876	0.5377	0.6184
6	0.6585	0.6174	0.6624	0.6876	0.5377	0.6385
7	0.6600	0.6194	0.6637	0.6846	0.5377	0.6462
8	0.6602	0.6255	0.6772	0.6868	0.5377	0.6361
9	0.6561	0.6258	0.6860	0.6837	0.5366	0.6442
10	0.6530	0.6157	0.6854	0.6810	0.5483	0.6500
11	0.6509	0.6282	0.6876	0.6873	0.5377	0.6171
12	0.6492	0.6292	0.6832	0.6846	0.5495	0.6088
13	0.6504	0.6295	0.6950	0.6897	0.5377	0.6174
14	0.6588	0.6255	0.6675	0.6914	0.5377	0.5818
15	0.6448	0.6359	0.6943	0.6860	0.5389	0.5957
