epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.7050	0.5196	0.7312	0.6722	0.5953	0.6328
2	0.6666	0.5905	0.7760	0.6570	0.6188	0.6498
3	0.6308	0.6348	0.8238	0.6698	0.5824	0.6296
4	0.6068	0.6554	0.8500	0.6783	0.5824	0.6168
5	0.5839	0.6794	0.8693	0.7348	0.5600	0.6074
6	0.5596	0.7007	0.8839	0.6950	0.5765	0.6121
7	0.5313	0.7247	0.9023	0.7218	0.5588	0.6014
8	0.5186	0.7287	0.9128	0.7254	0.5753	0.6058
9	0.4975	0.7493	0.9204	0.7455	0.5788	0.6083
10	0.4839	0.7517	0.9321	0.7620	0.5671	0.6064
11	0.4608	0.7818	0.9397	0.7616	0.5882	0.6215
12	0.4587	0.7706	0.9479	0.7746	0.5718	0.6144
13	0.4412	0.7787	0.9521	0.8100	0.5635	0.6123
14	0.4253	0.7885	0.9566	0.8117	0.5741	0.6177
15	0.4196	0.7929	0.9646	0.8242	0.5694	0.6074
