epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.6986	0.5198	0.5864	0.6965	0.4800	0.5923
2	0.6971	0.5161	0.5979	0.6927	0.5200	0.6023
3	0.6886	0.5380	0.6230	0.6930	0.5200	0.6270
4	0.6825	0.5484	0.6557	0.6892	0.5212	0.6379
5	0.6792	0.5595	0.6531	0.7074	0.5200	0.6428
6	0.6651	0.5924	0.6803	0.6947	0.5200	0.6589
7	0.6620	0.6028	0.6995	0.7193	0.5200	0.6655
8	0.6526	0.6183	0.7076	0.7307	0.5200	0.6868
9	0.6402	0.6378	0.7207	0.8306	0.5200	0.6942
10	0.6481	0.6277	0.7416	0.7591	0.5200	0.7013
11	0.6387	0.6388	0.7420	0.7330	0.5200	0.6994
12	0.6397	0.6431	0.7490	0.8314	0.5200	0.7038
13	0.6272	0.6566	0.7568	0.8137	0.5200	0.7066
14	0.6320	0.6499	0.7617	0.8051	0.5200	0.7135
15	0.6266	0.6647	0.7594	0.7776	0.5200	0.7093
