epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.6870	0.5585	0.7530	0.6479	0.6447	0.7047
2	0.6370	0.6295	0.7921	0.5706	0.7035	0.7653
3	0.5897	0.6870	0.8023	0.5655	0.7176	0.7734
4	0.5762	0.6997	0.8197	0.5637	0.7318	0.7795
5	0.5634	0.7071	0.8246	0.5566	0.7306	0.7833
6	0.5655	0.7135	0.8261	0.5574	0.7235	0.7909
7	0.5577	0.7152	0.8379	0.5455	0.7400	0.7979
8	0.5427	0.7260	0.8406	0.5425	0.7341	0.7993
9	0.5384	0.7313	0.8455	0.5475	0.7294	0.7932
10	0.5367	0.7320	0.8480	0.5396	0.7365	0.7947
11	0.5263	0.7441	0.8543	0.5457	0.7388	0.7945
12	0.5287	0.7387	0.8578	0.5432	0.7294	0.7954
13	0.5195	0.7488	0.8606	0.5372	0.7318	0.7978
14	0.5257	0.7347	0.8637	0.5381	0.7329	0.7986
15	0.5104	0.7451	0.8666	0.5372	0.7329	0.8006
