epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.7132	0.5032	0.5835	0.6956	0.4800	0.5203
2	0.7024	0.5150	0.6212	0.7030	0.4141	0.5485
3	0.6972	0.5223	0.6514	0.6900	0.5341	0.5872
4	0.6889	0.5300	0.6761	0.6805	0.6153	0.6235
5	0.6823	0.5613	0.6861	0.6715	0.6153	0.6368
6	0.6875	0.5426	0.6949	0.6875	0.5341	0.6883
7	0.6744	0.5767	0.6989	0.6624	0.6435	0.7006
8	0.6670	0.5816	0.7084	0.6499	0.6635	0.7122
9	0.6669	0.5962	0.7173	0.6569	0.6365	0.6905
10	0.6545	0.6055	0.7214	0.6496	0.6565	0.7076
11	0.6574	0.6108	0.7389	0.6666	0.6247	0.7015
12	0.6562	0.6088	0.7417	0.6514	0.6553	0.7018
13	0.6441	0.6234	0.7369	0.6187	0.6671	0.7174
14	0.6586	0.5994	0.7521	0.6442	0.6659	0.7116
15	0.6478	0.6071	0.7537	0.6333	0.6600	0.6997
