epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.7015	0.5065	0.6086	0.7023	0.3849	0.5485
2	0.6907	0.5380	0.6582	0.7149	0.3435	0.5370
3	0.6796	0.5746	0.6897	0.6902	0.5306	0.5287
4	0.6838	0.5589	0.7141	0.7986	0.3363	0.5407
5	0.6775	0.5589	0.7453	0.7005	0.4604	0.5389
6	0.6892	0.5537	0.7558	0.7142	0.3813	0.5267
7	0.6825	0.5681	0.7335	0.6808	0.5701	0.5351
8	0.6705	0.5641	0.7646	0.6683	0.6295	0.5289
9	0.6655	0.5772	0.7825	0.7209	0.4155	0.5063
10	0.6644	0.5720	0.7908	0.6892	0.5288	0.5085
11	0.6595	0.6034	0.7849	0.7385	0.3921	0.5014
12	0.6436	0.6204	0.7974	0.7215	0.4820	0.5032
13	0.6511	0.6204	0.7993	0.7414	0.4550	0.5118
14	0.6458	0.6178	0.8028	0.7498	0.4371	0.4970
15	0.6400	0.6492	0.8085	0.7872	0.3741	0.4898
