epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.6980	0.5234	0.5448	0.6930	0.5036	0.4758
2	0.7007	0.5037	0.5771	0.7082	0.3309	0.4809
3	0.6995	0.5037	0.5779	0.7355	0.3327	0.4807
4	0.6961	0.5135	0.5893	0.7041	0.3363	0.4798
5	0.6946	0.5234	0.5969	0.7171	0.3327	0.4662
6	0.6934	0.5259	0.6005	0.7056	0.3399	0.4744
7	0.6880	0.5443	0.6121	0.6850	0.6493	0.4748
8	0.6952	0.5345	0.6109	0.6979	0.3903	0.4623
9	0.6909	0.5320	0.6298	0.7070	0.3489	0.4726
10	0.6840	0.5480	0.6301	0.6946	0.4658	0.4741
11	0.6904	0.5320	0.6278	0.6986	0.3813	0.4771
12	0.6870	0.5480	0.6299	0.7178	0.3381	0.4942
13	0.6848	0.5517	0.6463	0.7122	0.3381	0.4892
14	0.6812	0.5677	0.6675	0.6990	0.4191	0.4920
15	0.6803	0.5579	0.6669	0.7181	0.3471	0.4790
