epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.6906	0.5300	0.6398	0.6811	0.5696	0.6231
2	0.6673	0.5885	0.6656	0.6574	0.6064	0.6476
3	0.6557	0.5892	0.6894	0.6495	0.6052	0.6563
4	0.6479	0.6072	0.7033	0.6507	0.6183	0.6558
5	0.6393	0.6171	0.7101	0.6451	0.6195	0.6563
6	0.6324	0.6338	0.7186	0.6590	0.6017	0.6609
7	0.6255	0.6287	0.7396	0.6484	0.6076	0.6612
8	0.6157	0.6525	0.7549	0.6599	0.6029	0.6598
9	0.6118	0.6596	0.7617	0.6596	0.6112	0.6561
10	0.5988	0.6760	0.7788	0.6742	0.5969	0.6578
11	0.5964	0.6698	0.7867	0.6783	0.5850	0.6367
12	0.5946	0.6596	0.8056	0.6594	0.5933	0.6559
13	0.5750	0.6869	0.8285	0.6842	0.6088	0.6558
14	0.5734	0.6964	0.8166	0.7141	0.5922	0.6449
15	0.5590	0.7042	0.8501	0.7050	0.6040	0.6296
