epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.6855	0.5379	0.6457	0.6595	0.6159	0.6467
2	0.6664	0.5844	0.6655	0.6449	0.6302	0.6597
3	0.6556	0.5981	0.6744	0.6508	0.6017	0.6431
4	0.6522	0.6030	0.6896	0.6511	0.6112	0.6318
5	0.6481	0.6136	0.7031	0.6523	0.6088	0.6394
6	0.6363	0.6295	0.7120	0.6552	0.6005	0.6400
7	0.6350	0.6229	0.7236	0.6515	0.5945	0.6390
8	0.6322	0.6371	0.7309	0.6597	0.5957	0.6243
9	0.6268	0.6446	0.7388	0.6540	0.5922	0.6290
10	0.6169	0.6481	0.7479	0.6719	0.5803	0.6117
11	0.6180	0.6508	0.7711	0.6684	0.5803	0.6130
12	0.6027	0.6670	0.7705	0.6718	0.5826	0.6227
13	0.5973	0.6632	0.7998	0.6806	0.5755	0.6087
14	0.5882	0.6729	0.7942	0.7176	0.5779	0.6028
15	0.5913	0.6756	0.8154	0.6851	0.5981	0.6108
