epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.6873	0.5315	0.6166	0.6569	0.5967	0.6443
2	0.6740	0.5726	0.6763	0.6579	0.6108	0.7128
3	0.6553	0.6218	0.6943	0.6385	0.6356	0.7102
4	0.6479	0.6386	0.7034	0.6431	0.6462	0.7060
5	0.6485	0.6282	0.7022	0.6762	0.5991	0.6928
6	0.6389	0.6437	0.7123	0.6557	0.6321	0.6915
7	0.6318	0.6564	0.7241	0.6253	0.6580	0.7033
8	0.6254	0.6548	0.7236	0.6460	0.6450	0.6983
9	0.6263	0.6588	0.7362	0.6244	0.6545	0.7062
10	0.6256	0.6659	0.7432	0.6304	0.6533	0.6996
11	0.6206	0.6602	0.7490	0.6399	0.6474	0.7031
12	0.6121	0.6814	0.7600	0.6340	0.6509	0.6926
13	0.6076	0.6797	0.7715	0.6330	0.6439	0.6989
14	0.6052	0.6810	0.7764	0.6377	0.6356	0.7013
15	0.5921	0.6847	0.7886	0.6387	0.6545	0.7068
