epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.6948	0.4881	0.5600	0.6974	0.4847	0.5898
2	0.6914	0.5367	0.5827	0.6898	0.5342	0.6035
3	0.6890	0.5472	0.5933	0.6764	0.5743	0.6057
4	0.6868	0.5475	0.6086	0.6664	0.6085	0.6305
5	0.6808	0.5655	0.6419	0.6492	0.6179	0.6623
6	0.6783	0.5752	0.6484	0.6596	0.6167	0.6494
7	0.6663	0.6048	0.6681	0.6589	0.6262	0.6639
8	0.6669	0.6008	0.6674	0.6509	0.6156	0.6573
9	0.6596	0.6102	0.6746	0.6598	0.6156	0.6446
10	0.6583	0.6084	0.6834	0.6574	0.6014	0.6589
11	0.6491	0.6321	0.6944	0.6762	0.5873	0.6553
12	0.6472	0.6332	0.6955	0.6747	0.5943	0.6534
13	0.6460	0.6242	0.7174	0.6579	0.6026	0.6452
14	0.6411	0.6371	0.7264	0.6515	0.6356	0.6629
15	0.6353	0.6411	0.7436	0.6684	0.6026	0.6344
