epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.6525	0.6193	0.7524	0.6254	0.6659	0.7366
2	0.6038	0.6737	0.7678	0.6357	0.6235	0.7320
3	0.6021	0.6788	0.7737	0.6155	0.6553	0.7349
4	0.5909	0.6878	0.7824	0.5967	0.6882	0.7421
5	0.5894	0.6932	0.7883	0.6027	0.6741	0.7406
6	0.5834	0.6962	0.7888	0.5997	0.6788	0.7432
7	0.5800	0.6885	0.7935	0.6269	0.6447	0.7462
8	0.5803	0.6949	0.7973	0.6063	0.6835	0.7377
9	0.5726	0.7060	0.8036	0.6044	0.6776	0.7364
10	0.5632	0.7110	0.8117	0.6053	0.6800	0.7388
11	0.5627	0.7130	0.8090	0.6137	0.6859	0.7392
12	0.5579	0.7140	0.8110	0.6101	0.6835	0.7478
13	0.5584	0.7103	0.8266	0.5931	0.6894	0.7501
14	0.5520	0.7288	0.8309	0.6013	0.6624	0.7352
15	0.5462	0.7272	0.8324	0.6203	0.6435	0.7285
