epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.6923	0.5132	0.6069	0.6635	0.5871	0.6806
2	0.6838	0.5557	0.6318	0.6378	0.6576	0.7137
3	0.6769	0.5699	0.6437	0.6303	0.6706	0.7213
4	0.6755	0.5791	0.6498	0.6325	0.6706	0.7154
5	0.6685	0.5909	0.6441	0.6474	0.6341	0.6943
6	0.6679	0.5909	0.6603	0.6329	0.6612	0.7220
7	0.6660	0.5973	0.6624	0.6218	0.6565	0.7267
8	0.6687	0.5939	0.6671	0.6343	0.6612	0.7140
9	0.6627	0.6000	0.6713	0.6491	0.6212	0.7075
10	0.6621	0.6024	0.6676	0.6535	0.6282	0.6885
11	0.6595	0.6115	0.6720	0.6362	0.6412	0.6899
12	0.6558	0.6068	0.6839	0.6413	0.6341	0.6866
13	0.6550	0.6074	0.6922	0.6261	0.6506	0.7092
14	0.6545	0.6152	0.7025	0.6321	0.6529	0.7087
15	0.6511	0.6230	0.7114	0.6422	0.6271	0.6921
