epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.6168	0.6584	0.7777	0.5583	0.7153	0.7817
2	0.5766	0.7017	0.7919	0.5575	0.7000	0.7952
3	0.5526	0.7206	0.8023	0.5445	0.7353	0.7970
4	0.5472	0.7233	0.8099	0.5268	0.7447	0.8049
5	0.5510	0.7128	0.8099	0.5270	0.7424	0.8076
6	0.5525	0.7182	0.8045	0.5501	0.7282	0.7922
7	0.5367	0.7243	0.8193	0.5232	0.7353	0.8085
8	0.5340	0.7307	0.8234	0.5268	0.7447	0.8064
9	0.5335	0.7397	0.8290	0.5272	0.7424	0.8074
10	0.5282	0.7408	0.8291	0.5279	0.7447	0.8065
11	0.5183	0.7441	0.8240	0.5615	0.7259	0.7995
12	0.5226	0.7471	0.8353	0.5520	0.7341	0.8049
13	0.5175	0.7522	0.8417	0.5478	0.7176	0.7961
14	0.5112	0.7525	0.8428	0.5261	0.7412	0.8060
15	0.5061	0.7539	0.8458	0.5382	0.7459	0.8006
