epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.6824	0.5706	0.6334	0.6577	0.6812	0.7253
2	0.6746	0.5942	0.6473	0.6085	0.6824	0.7412
3	0.6716	0.5970	0.6606	0.6066	0.7082	0.7602
4	0.6679	0.5933	0.6610	0.6312	0.6682	0.7628
5	0.6648	0.6023	0.6647	0.6185	0.7012	0.7338
6	0.6638	0.6027	0.6724	0.6039	0.7000	0.7330
7	0.6583	0.6075	0.6871	0.5796	0.7247	0.7547
8	0.6636	0.6043	0.6765	0.6230	0.6835	0.7339
9	0.6545	0.6092	0.6940	0.6238	0.6612	0.7599
10	0.6526	0.6209	0.6882	0.6275	0.6459	0.7623
11	0.6477	0.6234	0.7144	0.6122	0.6635	0.7355
12	0.6433	0.6254	0.7267	0.6092	0.6635	0.7389
13	0.6345	0.6392	0.7367	0.5927	0.7024	0.7324
14	0.6381	0.6388	0.7364	0.5924	0.7141	0.7508
15	0.6403	0.6331	0.6959	0.6287	0.6306	0.6833
