epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.6972	0.4889	0.5844	0.6842	0.5935	0.4821
2	0.6877	0.5727	0.6378	0.6889	0.5342	0.4791
3	0.6792	0.5739	0.6517	0.7235	0.4317	0.4723
4	0.6736	0.6010	0.6718	0.6881	0.5378	0.4963
5	0.6611	0.6059	0.6826	0.6666	0.5899	0.5096
6	0.6708	0.5961	0.7108	0.7095	0.4694	0.4865
7	0.6477	0.6158	0.7213	0.7688	0.4227	0.4817
8	0.6381	0.6293	0.7332	0.7766	0.4478	0.5020
9	0.6499	0.6145	0.7643	0.6987	0.5198	0.5085
10	0.6238	0.6749	0.7785	0.7042	0.5306	0.5180
11	0.6125	0.6527	0.7862	0.7192	0.5432	0.5129
12	0.6009	0.6638	0.7968	0.7034	0.5809	0.5303
13	0.5944	0.6872	0.8062	0.7817	0.4640	0.5423
14	0.5855	0.6946	0.8315	0.7917	0.4712	0.5171
15	0.5652	0.7044	0.8425	0.7201	0.5576	0.5487
