epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.6943	0.4921	0.6250	0.7413	0.3309	0.3939
2	0.6830	0.5550	0.6704	0.7281	0.4299	0.4115
3	0.6645	0.5851	0.6915	0.7292	0.4964	0.4669
4	0.6584	0.6008	0.6983	0.8619	0.3993	0.4449
5	0.6602	0.5942	0.7376	0.7624	0.3471	0.4541
6	0.6512	0.6099	0.7309	0.8503	0.3921	0.4293
7	0.6216	0.6348	0.7446	0.8145	0.4424	0.4524
8	0.6359	0.6440	0.7682	0.7913	0.4191	0.4682
9	0.6197	0.6414	0.7823	0.8459	0.3939	0.4320
10	0.6120	0.6545	0.7921	0.7543	0.5108	0.4887
11	0.5946	0.6610	0.8036	0.8239	0.4388	0.4595
12	0.5933	0.7042	0.8173	0.9126	0.4478	0.4603
13	0.5920	0.6728	0.7967	0.8065	0.4658	0.4655
14	0.5492	0.7225	0.8469	0.8422	0.4694	0.4804
15	0.5866	0.6872	0.8297	0.8326	0.4856	0.4621
