epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.9313	0.5728	0.5960	0.7195	0.5541	0.6102
2	0.8091	0.6076	0.6587	0.6924	0.6017	0.6426
3	0.7632	0.6396	0.6948	0.6849	0.5684	0.6359
4	0.6463	0.6726	0.7405	0.7085	0.6076	0.6437
5	0.6183	0.6920	0.7667	0.7134	0.6088	0.6369
6	0.5804	0.7168	0.7891	0.7107	0.6052	0.6278
7	0.5555	0.7124	0.7988	0.7040	0.6076	0.6465
8	0.5126	0.7509	0.8288	0.7196	0.5470	0.6147
9	0.5030	0.7471	0.8313	0.7104	0.5922	0.6353
10	0.4800	0.7617	0.8474	0.7099	0.5922	0.6389
11	0.4632	0.7679	0.8596	0.7067	0.5993	0.6373
12	0.4526	0.7842	0.8699	0.7018	0.5981	0.6348
13	0.4410	0.7900	0.8783	0.7024	0.5945	0.6357
14	0.4345	0.7934	0.8822	0.7037	0.6005	0.6384
15	0.4297	0.8019	0.8867	0.7032	0.5969	0.6395
