epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.9061	0.5727	0.6003	0.6923	0.6195	0.6628
2	0.7714	0.6322	0.6798	0.7375	0.5589	0.6149
3	0.6832	0.6567	0.7174	0.7091	0.6171	0.6560
4	0.6422	0.6853	0.7526	0.6833	0.5874	0.6512
5	0.6242	0.6939	0.7661	0.7045	0.6040	0.6189
6	0.5807	0.7090	0.7835	0.6948	0.5779	0.6308
7	0.5640	0.7176	0.7930	0.7011	0.5969	0.6351
8	0.5408	0.7266	0.8085	0.6999	0.5791	0.6267
9	0.5189	0.7497	0.8218	0.6963	0.5767	0.6227
10	0.5066	0.7493	0.8290	0.7182	0.5862	0.6084
11	0.4830	0.7624	0.8466	0.7104	0.5838	0.6199
12	0.4688	0.7724	0.8567	0.7029	0.5862	0.6142
13	0.4561	0.7831	0.8652	0.7067	0.5779	0.6189
14	0.4536	0.7827	0.8682	0.7027	0.5838	0.6224
15	0.4494	0.7862	0.8712	0.7031	0.5826	0.6219
