epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	1.0623	0.4942	0.4729	0.7552	0.4768	0.4581
2	0.9259	0.5041	0.4942	0.7440	0.4911	0.4738
3	0.8599	0.5146	0.5153	0.7441	0.4982	0.4892
4	0.8326	0.5211	0.5299	0.7376	0.4946	0.4985
5	0.8169	0.5265	0.5404	0.7369	0.5006	0.5048
6	0.8091	0.5296	0.5463	0.7366	0.5089	0.5111
7	0.8004	0.5361	0.5507	0.7366	0.5196	0.5146
8	0.7976	0.5402	0.5549	0.7354	0.5149	0.5155
9	0.7933	0.5388	0.5570	0.7351	0.5149	0.5166
10	0.7923	0.5344	0.5571	0.7349	0.5172	0.5174
11	0.7903	0.5347	0.5588	0.7349	0.5161	0.5174
12	0.7910	0.5381	0.5592	0.7345	0.5172	0.5179
13	0.7911	0.5368	0.5586	0.7344	0.5137	0.5172
14	0.7909	0.5364	0.5596	0.7343	0.5149	0.5176
15	0.7896	0.5378	0.5594	0.7343	0.5125	0.5173
