epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.9835	0.5179	0.5253	0.7353	0.4887	0.5165
2	0.8803	0.5207	0.5340	0.7297	0.5113	0.5312
3	0.8419	0.5327	0.5524	0.7254	0.5196	0.5445
4	0.8217	0.5389	0.5603	0.7249	0.5291	0.5549
5	0.8075	0.5479	0.5690	0.7237	0.5303	0.5621
6	0.7996	0.5496	0.5725	0.7215	0.5386	0.5657
7	0.7955	0.5520	0.5758	0.7207	0.5410	0.5681
8	0.7941	0.5568	0.5771	0.7215	0.5375	0.5707
9	0.7915	0.5541	0.5783	0.7208	0.5398	0.5726
10	0.7906	0.5548	0.5791	0.7214	0.5410	0.5733
11	0.7900	0.5554	0.5796	0.7215	0.5410	0.5730
12	0.7889	0.5551	0.5805	0.7212	0.5398	0.5736
13	0.7888	0.5561	0.5805	0.7213	0.5410	0.5724
14	0.7884	0.5551	0.5806	0.7212	0.5398	0.5733
15	0.7885	0.5561	0.5807	0.7212	0.5422	0.5732
